,timestamp,Open,High,Low,Close,Adj Close,Volume
82,2020-02-28,1.15,1.19,1.12,1.14,1.14,1237100
83,2020-03-02,1.16,1.21,1.13,1.18,1.18,810600
84,2020-03-03,1.18,1.19,1.12,1.14,1.14,751300
85,2020-03-04,1.16,1.17,1.13,1.165,1.165,530700
86,2020-03-05,1.25,1.33,1.22,1.28,1.28,2785100
87,2020-03-06,1.29,1.34,1.16,1.27,1.27,1437700
88,2020-03-09,1.08,1.12,1.02,1.08,1.08,1378500
89,2020-03-10,1.13,1.14,1.04,1.07,1.07,776300
90,2020-03-11,1.04,1.08,0.99,1.01,1.01,1065500
91,2020-03-12,0.75,0.777,0.53,0.728,0.728,1826700
92,2020-03-13,0.78,0.8,0.65,0.72,0.72,1138300
93,2020-03-16,0.61,0.7,0.6,0.6579999999999999,0.6579999999999999,936800
94,2020-03-17,0.7,0.8,0.631,0.748,0.748,674700
95,2020-03-18,0.74,0.74,0.511,0.65,0.65,1454800
96,2020-03-19,0.7,0.73,0.65,0.703,0.703,840100
97,2020-03-20,0.7559999999999999,0.76,0.69,0.705,0.705,592900
98,2020-03-23,0.7140000000000001,0.73,0.63,0.669,0.669,565600
99,2020-03-24,0.735,0.83,0.735,0.7979999999999999,0.7979999999999999,1173800
100,2020-03-25,0.75,0.84,0.735,0.773,0.773,719100
101,2020-03-26,0.82,0.93,0.76,0.816,0.816,1238000
102,2020-03-27,0.8,0.83,0.78,0.789,0.789,364600
103,2020-03-30,0.807,0.85,0.78,0.792,0.792,506900
104,2020-03-31,0.83,0.86,0.79,0.833,0.833,354400
105,2020-04-01,0.83,0.846,0.76,0.773,0.773,524600
106,2020-04-02,0.7979999999999999,0.882,0.76,0.78,0.78,995800
107,2020-04-03,0.91,0.95,0.85,0.9,0.9,1287600
108,2020-04-06,0.95,1.12,0.92,1.095,1.095,2570800
109,2020-04-07,1.19,1.19,0.99,1.02,1.02,1410400
110,2020-04-08,1.06,1.09,1.0,1.07,1.07,673600
111,2020-04-09,1.08,1.09,0.98,1.03,1.03,759800
112,2020-04-13,1.01,1.02,0.93,1.01,1.01,656500
113,2020-04-14,0.9840000000000001,1.04,0.9840000000000001,1.01,1.01,1078000
114,2020-04-15,1.05,1.25,1.02,1.13,1.13,2518900
115,2020-04-16,1.2,1.21,1.13,1.17,1.17,1027800
116,2020-04-17,1.2,1.2,1.11,1.14,1.14,720000
117,2020-04-20,1.1,1.18,1.1,1.1,1.1,1170200
118,2020-04-21,1.08,1.084,0.9840000000000001,1.02,1.02,1030200
119,2020-04-22,1.05,1.08,1.02,1.07,1.07,503500
120,2020-04-23,1.07,1.2,1.07,1.15,1.15,4276500
121,2020-04-24,1.17,1.29,1.1,1.25,1.25,4470000
122,2020-04-27,1.27,1.3,1.15,1.24,1.24,2484600
123,2020-04-28,1.24,1.25,1.15,1.16,1.16,1071800
124,2020-04-29,1.26,1.38,1.17,1.21,1.21,7766400
125,2020-04-30,1.23,1.24,1.15,1.21,1.21,1655000
126,2020-05-01,1.18,1.2,1.07,1.07,1.07,2123000
127,2020-05-04,1.1,1.13,1.03,1.12,1.12,1039300
