GPRO,CCL,TSLA,DAL,DIS,AAL,MSFT,AAPL,GE,F
4.82,14.58,1389.69,27.02,113.63,11.92,208.24,372.64,6.76,6.1272
4.96,15.32,1365.8054,27.02,116.71,11.99,212.84,381.44,6.86,6.1
4.85,14.58,1393.81,25.65,116.81,11.18,214.4,382.6599,6.58,5.85
4.9,16.16,1546.01,27.11,119.31,11.94,213.65,383.52,6.71,6.1
4.97,15.29,1494.1,26.84,116.24,11.64,207.1,381.91,6.71,6.07
4.825,15.04,1516.385,26.11,118.66,11.55,208.39,388.21,6.89,6.37
4.99,17.48,1546.875,28.61,120.93,13.44,208.05,390.91,7.14,6.74
4.9477,15.85,1498.7701,27.3,119.7,12.455,203.88,385.72,7.065,6.8797
4.935,15.47,1500.45,27.05,118.64,11.92,202.87,385.15,7.08,6.81
4.92,15.01,1642.47,26.21,117.77,11.455,211.49,393.43,6.86,6.66
5.11,15.19,1567.58,26.4206,118.63,11.47,208.75,388.0,7.04,6.69
5.19,15.14,1590.58,26.25,119.01,11.36,211.7533,389.09,7.06,6.85
5.16,14.8,1513.68,26.78,118.12,11.77,202.6,371.56,7.04,6.98
5.04,14.8,1415.56,25.97,117.56,11.38,201.3,370.42,6.86,6.8872
5.29,13.76,1539.91,25.49,116.34,11.39,203.85,379.215,6.705,6.94
5.13,14.34,1475.35,25.92,116.18,11.77,201.74,373.04,6.89,7.0099
5.23,14.65,1499.99,25.72,115.66,11.4,204.06,380.27,6.59,6.91
5.18,14.34,1487.42,24.94,115.66,11.17,203.89,384.88,6.265,6.74
5.29,13.88,1432.0,24.98,116.9767,11.12,205.1,425.19,6.07,6.6
5.58,13.07,1484.98,25.21,116.35,11.08,216.54,435.66,6.115,6.695
5.445,13.75,1486.25,25.67,117.42,11.47,213.35,438.81,6.15,6.86
5.59,14.02,1485.18,26.5,127.64,12.57,212.95,440.339,6.39,6.96
5.57,13.775,1489.69,27.08,130.82,13.025,216.35,455.88,6.335,6.935
4.9423,14.22,1453.1,27.175,130.0,13.0281,212.44,444.41,6.39,6.87
4.79,15.43,1419.0,29.33,128.83,13.9981,208.33,450.94,6.68,7.1
