U_GPRO,U_CCL,U_TSLA,U_DAL,U_DIS,U_AAL,U_MSFT,U_AAPL,U_GE,U_F
253767.16666666666,3328.0,120106.16666666667,15157.0,201899.0,10728.833333333334,245395.66666666666,215630.08333333334,298013.5833333333,321185.1666666667
254094.29166666666,3327.7083333333335,120386.58333333333,15159.541666666666,202025.875,10722.958333333334,245761.25,216256.95833333334,298665.9166666667,321614.4583333333
255107.04166666666,3339.75,121590.91666666667,15194.041666666666,202436.45833333334,10815.708333333334,247000.08333333334,218085.04166666666,301982.0416666667,322774.1666666667
255454.58333333334,3384.695652173913,122393.66666666667,15268.391304347826,202701.1739130435,11075.695652173914,247850.91304347827,218891.33333333334,302919.7826086957,323802.4347826087
255459.69565217392,3384.0,122392.0,15267.0,202697.0,11075.0,247845.0,218886.0,302916.0,323800.0
255466.0,3384.0,122391.0,15267.333333333334,202693.33333333334,11075.666666666666,247843.66666666666,218882.33333333334,302912.3333333333,323800.3333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
268711.375,5665.0,141162.0,17517.0,207502.0,12137.0,277530.0,238682.0,318370.0,339703.2083333333
269468.125,5742.25,145138.45833333334,17576.125,208875.66666666666,12139.666666666666,277862.0416666667,239200.625,318538.6666666667,340626.4583333333
271693.73913043475,5953.130434782609,157653.0,17686.608695652172,213365.47826086957,12042.478260869566,279435.95652173914,240185.34782608695,318779.9130434783,344229.0
274039.0416666667,6147.916666666667,158474.375,17648.125,216723.29166666666,11788.875,282774.0416666667,239970.75,319556.6666666667,353379.7916666667
278340.7083333333,6441.166666666667,149353.95833333334,17608.958333333332,217045.08333333334,11680.583333333334,286552.2083333333,240225.45833333334,320966.0,358611.4166666667
279942.375,6735.5,151903.875,17622.333333333332,217347.58333333334,11685.0,289473.2916666667,240560.91666666666,322617.0,361024.4166666667
280588.0833333333,7046.666666666667,152098.20833333334,17660.916666666668,217978.04166666666,11681.25,291632.3333333333,241612.54166666666,324164.0833333333,362989.0416666667
280591.125,7047.0,152093.0,17660.0,217974.0,11679.0,291618.0,241607.0,324159.0,362994.3333333333
281768.0416666667,7233.625,152757.375,17704.583333333332,217903.125,11685.333333333334,293045.0416666667,241784.70833333334,324631.75,363699.875
283965.1666666667,7715.166666666667,154976.29166666666,17794.375,217691.04166666666,11637.708333333334,298033.9166666667,241950.29166666666,325794.5416666667,365477.5833333333
283691.4166666667,7896.583333333333,154943.58333333334,17787.125,218004.83333333334,11496.125,303146.2083333333,241829.95833333334,326027.8333333333,367061.2083333333
283683.1666666667,8065.833333333333,153695.66666666666,17797.5,217738.5,11420.375,305605.0,241469.91666666666,327594.2916666667,368226.5
283492.9166666667,8277.583333333334,150834.08333333334,17866.166666666668,217944.58333333334,11411.791666666666,304266.8333333333,241789.375,328382.2083333333,369527.6666666667
283534.7083333333,8447.0,150573.375,18004.041666666668,218546.20833333334,11416.5,305264.2916666667,242031.75,328713.2916666667,370724.625
283536.0,8447.0,150568.0,18004.0,218542.0,11416.0,305260.0,242027.0,328712.0,370722.25
283539.5652173913,8447.0,150568.0,18004.0,218542.0,11416.0,305260.0,242027.0,328712.0,370723.0
283537.47826086957,8526.782608695652,150653.04347826086,18033.0,218548.95652173914,11428.434782608696,306218.95652173914,242636.5652173913,328731.47826086957,371268.0869565217
283641.2173913043,8747.0,150921.5652173913,18114.347826086956,218329.1739130435,11463.391304347826,308901.4347826087,244146.08695652173,328844.73913043475,372688.4347826087
283271.8333333333,8873.0,151024.25,18121.208333333332,217619.0,11484.458333333334,310657.0,243466.91666666666,329108.2083333333,373914.9166666667
283156.75,9063.391304347826,151818.875,18145.608695652172,217484.60869565216,11498.95652173913,313678.2173913043,243893.08695652173,329163.5652173913,377151.652173913
283989.2916666667,9297.166666666666,152257.25,18189.5,217527.75,11576.541666666666,316039.375,244879.625,329196.0416666667,381043.75
283996.0833333333,9298.0,152251.0,18188.0,217523.0,11576.0,316032.0,244874.0,329196.0,381046.0
284291.75,9611.25,152220.5,18394.75,217851.70833333334,11815.958333333334,316307.5833333333,245927.33333333334,329261.1666666667,382100.6666666667
285239.625,10632.166666666666,152039.95833333334,19007.125,219090.04166666666,12699.625,318040.5833333333,249549.66666666666,329487.4583333333,384848.1666666667
286424.5833333333,11316.0,151055.20833333334,19410.791666666668,220894.5,13496.416666666666,319121.0,251556.04166666666,329752.9166666667,386767.6666666667
287631.2083333333,11947.416666666666,150062.75,19923.166666666668,223648.79166666666,14060.208333333334,319654.0,253355.25,329782.625,389624.2916666667
290684.9166666667,12496.291666666666,148065.75,20501.0,224381.25,14850.208333333334,315474.4166666667,251464.0,329295.9166666667,390867.9166666667
293979.7083333333,13295.91304347826,149926.875,21190.652173913044,226602.47826086957,15919.608695652174,317723.1666666667,254108.95833333334,331185.0,392582.0
293986.7916666667,13296.0,149914.0,21190.0,226596.0,15923.0,317699.0,254094.0,331184.0,392584.0
294003.5714285714,13308.714285714286,150058.42857142858,21213.928571428572,226636.5,15940.714285714286,317781.0,254195.5,331249.64285714284,392611.28571428574
297532.7272727273,14776.181818181818,154413.0909090909,23896.590909090908,230719.31818181818,18052.81818181818,322258.2727272727,258694.45454545456,336754.5,396821.2272727273
299253.1666666667,16539.166666666668,157545.79166666666,28346.208333333332,234914.75,20671.75,326177.0416666667,261398.08333333334,338630.9166666667,400164.9583333333
300416.0833333333,18009.291666666668,158801.375,31412.375,238381.375,23377.333333333332,327971.5833333333,261660.33333333334,340660.625,403112.6666666667
301205.5833333333,20834.791666666668,159259.20833333334,35371.375,242075.54166666666,28383.916666666668,329873.4583333333,262589.0833333333,343219.0833333333,407023.7083333333
301482.25,23018.5,160455.04166666666,37561.041666666664,243529.5,32599.458333333332,333245.0416666667,263524.9583333333,345166.875,410902.375
301483.0,23019.0,160430.0,37552.0,243487.0,32602.0,333168.0,263458.0,345160.0,410891.2916666667
301638.875,24270.208333333332,160600.66666666666,38482.5,244972.875,34681.25,333065.4166666667,263822.5,346114.9583333333,412242.7083333333
