BTC,DOGE,ETH,LTC,XRP,users
9166.955,0.003218,236.09,41.985,0.1947,12148648
9398.465,0.0033,246.27,43.695,0.1996,12189189
9554.34,0.003296,264.505,45.07,0.2039,12229729
9619.375,0.0032990000000000003,276.275,45.0,0.2086,12270270
9553.58,0.00322,279.69,44.185,0.2043,12310810
9711.82,0.003259,306.37,49.22,0.2149,12351351
9947.22,0.003242,311.37,48.15,0.2154,12391891
11056.715,0.003181,322.81,53.41,0.2246,12432432
10931.94,0.003187,317.385,55.865,0.2308,12472972
11112.665,0.003174,318.88,55.275,0.2433,12513513
11103.66,0.003223,335.535,56.865,0.2445,12554054
11353.635,0.00323,346.89,58.23,0.2599,12594594
11842.875,0.003712,388.76,61.905,0.2913,12635135
11070.31,0.003337,371.72,56.94,0.2878,12675675
11229.355,0.003379,386.385,58.58,0.3103,12716216
11193.15,0.003553,390.05,57.67,0.3015,12756756
11780.285,0.003507,402.13,58.99,0.3027,12797297
11776.32,0.003565,395.07,59.12,0.3033,12837837
11603.44,0.0034990000000000004,379.355,57.17,0.2947,12878378
11781.885,0.003526,397.4,58.435,0.2954,12918918
11687.77,0.003472,390.56,57.005,0.28800000000000003,12959459
11906.885,0.003493,396.155,58.41,0.2947,13000000
