U_ABB,U_TSLA,U_AMD,U_RIOT
2246.0,160430.0,203912.0,16534.0
2243.3333333333335,160600.66666666666,203583.91666666666,16512.875
2240.0,162486.4347826087,202943.34782608695,16464.0
2246.7083333333335,164630.5,202888.20833333334,16462.541666666668
2255.5,163288.79166666666,200952.66666666666,16433.583333333332
2266.4583333333335,162565.75,198890.66666666666,16425.375
2279.0,165611.20833333334,199435.33333333334,16441.0
2279.0,165588.0,199408.0,16441.0
2289.1666666666665,166924.65217391305,199294.47826086957,16467.0
2321.3333333333335,172197.0,198849.22222222222,16512.11111111111
2332.875,175659.79166666666,198658.70833333334,16526.5
2349.7083333333335,182046.75,198645.95833333334,16567.375
2364.2608695652175,188409.34782608695,198618.69565217392,16654.82608695652
2373.0416666666665,191789.41666666666,198712.54166666666,16695.125
2374.0,191766.25,198705.0,16697.9375
2384.3333333333335,192088.33333333334,198597.95833333334,16744.875
2412.625,193702.91666666666,198228.95833333334,16832.541666666668
2425.6363636363635,197573.86363636365,197967.4090909091,16912.31818181818
2434.913043478261,201012.47826086957,198220.91304347827,17014.608695652172
2453.4166666666665,202959.83333333334,197789.70833333334,17139.583333333332
2461.0,203520.0,197575.66666666666,17187.0
2461.0,203510.0,197553.0,17187.0
2468.9583333333335,203716.75,197533.66666666666,17252.375
2491.125,203899.54166666666,198003.79166666666,17396.083333333332
2505.0416666666665,203919.29166666666,199079.66666666666,17462.458333333332
2508.7916666666665,207696.73913043478,199198.5652173913,17512.17391304348
2517.9565217391305,210501.95652173914,199404.04347826086,17587.956521739132
2529.0,213554.25,199903.29166666666,17659.0
2529.0,213550.0,199909.0,17659.0
2533.9166666666665,213701.33333333334,199672.08333333334,17689.041666666668
2544.7916666666665,212754.75,198618.75,17845.125
2558.1739130434785,211314.8260869565,198152.08695652173,17903.347826086956
2578.608695652174,211613.47826086957,197947.4347826087,17855.478260869564
2599.0,211665.08333333334,197785.91666666666,17820.166666666668
2599.0,211658.0,197771.0,17821.0
2599.0,211658.0,197771.0,17821.0
2610.5833333333335,212225.41666666666,197900.375,17870.208333333332
2637.7916666666665,214156.83333333334,198297.04166666666,17952.166666666668
2670.086956521739,215506.60869565216,198706.30434782608,18127.521739130436
2708.5416666666665,215479.54166666666,199421.58333333334,18484.041666666668
2728.4583333333335,213667.83333333334,200680.58333333334,18694.416666666668
2747.0,214400.04166666666,201245.20833333334,18744.541666666668
2747.0,214382.0,201215.0,18744.0
2761.8695652173915,214177.21739130435,201318.52173913043,18777.391304347828
2796.5833333333335,212362.70833333334,201701.29166666666,18862.208333333332
2815.0833333333335,212409.25,202620.75,18940.25
2832.7083333333335,212523.33333333334,202728.875,18995.291666666668
2858.1666666666665,212571.16666666666,202707.16666666666,19089.166666666668
2865.0,211515.20833333334,202392.79166666666,19178.208333333332
2865.0,211510.0,202388.0,19178.0
2872.8333333333335,209945.83333333334,202770.20833333334,19325.625
2896.625,206757.95833333334,204538.25,19570.666666666668
2932.625,207913.20833333334,208069.33333333334,19682.708333333332
2961.7391304347825,205948.30434782608,208931.47826086957,19892.043478260868
2981.7916666666665,208456.625,208861.25,20023.583333333332
2989.0,213501.16666666666,209143.125,20140.791666666668
2989.0,213496.0,209157.0,20144.0
2992.6666666666665,214114.91666666666,209712.70833333334,20223.375
3005.375,213688.375,210787.20833333334,20382.375
3026.0714285714284,212011.2142857143,210606.85714285713,20436.85714285714
3039.391304347826,210437.1739130435,210650.47826086957,20573.17391304348
3050.0833333333335,208243.91666666666,210795.54166666666,21238.583333333332
3053.0,205018.83333333334,210383.625,22112.208333333332
3053.0,205013.0,210373.0,22112.0
3064.1666666666665,205421.875,210202.54166666666,22415.666666666668
3087.75,206371.8,209429.95,22963.0
3108.818181818182,208540.86363636365,209116.13636363635,23101.409090909092
3124.625,213672.20833333334,209572.04166666666,23448.958333333332
3140.875,216824.70833333334,209909.75,23932.333333333332
3152.0,217784.125,210062.125,23744.958333333332
3152.0,217778.0,210053.0,23746.0
3153.4347826086955,217921.63043478262,209997.4347826087,23761.847826086956
3166.8695652173915,219826.26086956522,209607.0,23849.652173913044
3215.125,221216.20833333334,209349.5,24053.0
3249.7916666666665,222507.875,209776.54166666666,24430.0
3271.0833333333335,222663.83333333334,210666.375,24495.208333333332
3280.0,223424.16666666666,210897.45833333334,24490.708333333332
3280.0,223421.0,210892.0,24493.0
3280.0,223421.0,210892.0,24493.0
3288.9583333333335,224616.66666666666,211474.79166666666,24523.75
3312.25,229420.95833333334,214360.125,24610.291666666668
3335.2083333333335,233597.20833333334,217189.08333333334,24512.083333333332
3361.375,235791.33333333334,217108.58333333334,24453.708333333332
3373.0,235763.08333333334,216904.0,24504.416666666668
3373.0,235760.0,216903.0,24505.0
3377.657142857143,237660.77142857143,216911.3142857143,24475.342857142856
3391.8333333333335,243095.91666666666,217073.20833333334,24660.416666666668
3384.1666666666665,244436.79166666666,217859.875,25239.708333333332
3378.8333333333335,247232.16666666666,218933.0,25209.916666666668
